,subject,predicate,rtype,object,operations,support_sentence
10,FeatureOfInterest,hasSample,some,Sample,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Result'], 'specialize': []}","['(""each Feature of Interest is associated exclusively with a specific sample that provides data about it."")']"
11,ObservableProperty,madeBySensor,some,Sensor,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['System'], 'specialize': []}","['(""this property is specifically linked to sensors, which are responsible for observing and collecting data about it"")']"
12,Observation,hasFeatureOfInterest,some,FeatureOfInterest,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""focuses on a particular feature of interest"")']"
13,Observation,hasResult,some,Result,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Each observation is associated with a unique result that reflects the data gathered during the observation process."")']"
14,Observation,madeBySensor,some,Sensor,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['System'], 'specialize': []}","['(""It is conducted by a sensor."")']"
15,Observation,observedProperty,some,ObservableProperty,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Property'], 'specialize': []}","['(""is linked to a specific observable property"")']"
16,Observation,usedProcedure,some,Procedure,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""following a defined procedure"")']"
17,Observation,wasOriginatedBy,some,Stimulus,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""is often triggered by a stimulus"")']"
18,Output,madeByActuator,some,Actuator,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['System'], 'specialize': []}","['(""Outputs may result from the operation of actuators"")']"
19,Output,madeBySampler,some,Sampler,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Outputs may result from the operation of sampling devices"")']"
20,Output,madeBySensor,some,Sensor,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['System'], 'specialize': []}","['(""Outputs may result from the operation of sensors"")']"
21,Platform,hasDeployment,some,Deployment,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""a Platform is always associated with a deployment context, indicating its specific operational environment."")']"
22,Platform,hosts,only,System,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""exclusively hosts systems, ensuring that only compatible entities operate within its framework."")']"
23,Procedure,deployedSystem,some,System,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""each Procedure is executed by a designated system, which embodies the necessary capabilities to carry out the prescribed actions"")']"
24,Procedure,hasInput,some,Input,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""its exclusive reliance on defined inputs and outputs"" – indicating that a Procedure works with defined inputs)']"
25,Procedure,hasOutput,some,Output,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""its exclusive reliance on defined inputs and outputs"" – indicating that a Procedure produces defined outputs)']"
26,Property,hasFeatureOfInterest,some,FeatureOfInterest,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['Each property is uniquely tied to a feature, ensuring that it describes only that particular aspect or quality.']"
27,Result,hasFeatureOfInterest,some,FeatureOfInterest,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""often reflecting the state or condition of a particular feature of interest"")']"
28,Result,isResultOf,some,Observation,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""obtained from observations or measurements taken in a semantic sensor network"")']"
29,Sample,madeSampling,some,Sampling,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Sample is described as being collected during a Sampling procedure and is uniquely associated with the act of Sampling that produced it"")']"
30,Sampler,hasFeatureOfInterest,only,FeatureOfInterest,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""designed to collect data from a specific feature of interest"" indicates that the Sampler’s related feature must be a FeatureOfInterest)']"
31,Sampler,madeSampling,only,Sampling,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""all operations it conducts are directly related to the act of sampling"" from ""Samplers are characterized by its exclusive involvement in sampling processes"")']"
32,Sampling,hasFeatureOfInterest,some,FeatureOfInterest,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['Sampling refers to the process of collecting data from a specific feature of interest, ensuring that the data gathered is representative of that feature.']"
33,Sampling,hasSample,some,Sample,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Result'], 'specialize': []}",['The outcome of sampling is a sample that reflects the observations made during the process.']
34,Sampling,madeBySampler,some,Sampler,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['This process is exclusively conducted by a sampler, which is responsible for carrying out the sampling activities.']"
35,Sampling,usedProcedure,some,Procedure,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['Each sampling operation follows a defined procedure to ensure consistency and reliability in the data collection.']
36,Sensor,detects,some,Stimulus,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""designed to detect and respond to physical stimuli in the environment, such as light, temperature, or pressure"")']"
37,Sensor,observes,some,ObservableProperty,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Property'], 'specialize': []}","['(""capable of observing particular properties, which define the characteristics it monitors"")']"
38,Stimulus,actsOnProperty,some,ObservableProperty,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Property'], 'specialize': []}","['(""It is intrinsically linked to specific observable properties, ensuring that each stimulus is associated with a defined aspect of interest in the surrounding environment."")']"
39,System,deployedOnPlatform,some,Platform,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""operates within a specific Platform"")']"
40,System,hasDeployment,some,Deployment,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""encompasses Deployments, which define how the System is executed"")']"
41,System,hasSubSystem,some,System,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""may include SubSystems that work collaboratively to achieve overarching goals"")']"
42,System,implements,some,Procedure,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""every System implements specific Procedures that guide its operations and functionalities"")']"
