,subject,predicate,rtype,object,operations,support_sentence
24,Grass,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""typically found in a variety of habitats across Africa"")']"
25,Habitat,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""…providing … breeding grounds for the species that inhabit it"" implies that living organisms—in this case animals—are members of the habitat.)']"
26,Habitat,has-member,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""A habitat is a natural environment where various organisms live and interact"" supports that, in addition to animals, plants (another major life‐form) are also inhabitants.)']"
27,Herbivore,eats,only,Plant,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['Herbivores are animals that just consume plant material as their all source of nutrition.']
28,Herd,has-member,some,Elephant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Herbivore'], 'specialize': []}","['In the context of African wildlife, a herd is often characterized by its members being predominantly elephants...']"
29,HypoCarnivores,eats,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The description states that HypoCarnivores ""primarily consume meat,"" indicating that an animal item (meat) is a regular part of their diet.)']"
30,HypoCarnivores,eats,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The description also notes that they ""can also incorporate some plant matter into their diets,"" implying that plant materials are occasionally included in what they eat.)']"
31,Impala,eaten-by,some,Carnivore,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Animal'], 'specialize': []}","['(""prey for larger carnivores"")']"
32,Impala,eats,some,Grass,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Plant'], 'specialize': []}","['(""primarily feeding on grasses and leaves"")']"
33,Impala,eats,some,Leaf,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(""primarily feeding on grasses and leaves"")']"
34,Impala,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Typically found in the open savannahs and woodlands of eastern and southern Africa"")']"
35,Kettle,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The description states that ""Kettle"" is a specific collective grouping of animals, typically consisting of a number of birds, which implies that the class has members that are animals.)']"
36,Leaf,is-part-of,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""As part of the plant\'s structure, leaves contribute to overall growth and health."")']"
37,Leaf,is-proper-part-of,some,Branch,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Leaves are typically green and are attached to branches, where they can efficiently capture light."")']"
38,Lion,eats,some,Herbivore,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Animal'], 'specialize': []}",['It primarily hunts and feeds on herbivorous animals.']
39,MesoCarnivore,eats,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['MesoCarnivores are a category of animals that primarily consume other animals by regulating prey populations.']
40,MesoCarnivore,eats,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['They also incorporate some plant material into their diet.']
41,Nest,has-part,some,Leaf,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(""constructed using materials such as leaves"")']"
42,Nest,has-part,some,Twig,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""constructed using materials such as twigs"")']"
43,Nest,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Nests can be found in a variety of habitats"")']"
44,ObligateCarnivore,eats,only,Animal,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Obligate carnivores are animals that primarily rely on a diet consisting exclusively of meat to meet their nutritional needs"" implies that they eat only animals, i.e. meat, and since Animal is in the class_hierarchy, we restrict the ""eats"" property accordingly.)']"
45,Omnivore,eats,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""consume a varied diet, incorporating both animal …"")']"
46,Omnivore,eats,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""consume a varied diet, incorporating both … plant matter"")']"
47,Omnivore,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""thrive in diverse habitats"")']"
48,Palm,eaten-by,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""providing habitat and food for various animal species"" implies that animals may consume parts or products of palm trees)']"
49,Palm,has-part,some,Leaf,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(""characterized by their large, fan-like or feather-like leaves"")']"
50,Palm,has-part,some,Stem,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(""characterized by their tall, slender trunks"" can be interpreted using Stem from PlantParts in the class hierarchy)']"
51,Palmtree,has-part,some,Leaf,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(""crown of large, fan‐shaped or feather‐like leaves at the top"" indicates that a Palmtree necessarily includes leaves)']"
52,Palmtree,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""thrives in warm climates and is often associated with tropical and subtropical environments"" implies that any environment a Palmtree inhabits is a Habitat)']"
53,Parsnip,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""typically grows in temperate regions, thriving in well-drained soil with plenty of sunlight"")']"
54,Phloem,is-part-of,some,Stem,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['It is specifically associated with the stem"" indicates that any instance of Phloem must be part of a Stem as defined in the PlantParts hierarchy.']"
55,Plant,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['Their structures, such as roots, stems, and leaves, are essential for their survival and reproduction,"" and in the class hierarchy these components (Leaf, Root, Stem) fall under PlantParts.']"
56,PlantParts,is-part-of,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['Every plant part is inherently linked to a specific plant, emphasizing the interdependence between the components and the whole organism.']"
57,Predator,eats,some,Prey,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","[""(The class description states that predators “actively hunt and consume other animals for sustenance” and “influence the distribution and behavior of prey species,” which supports a restriction using the 'eats' property with Prey as the filler.)""]"
58,Prey,eaten-by,some,Predator,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Prey animals are \'primarily hunted by predators for food\', which indicates that each Prey must be eaten by some instance of Predator as defined in the class hierarchy."")']"
59,Rhumba,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""characterized by a group of individuals that come together for social interactions or cooperative behaviors"" implies that a Rhumba consists of animal members).']"
60,RockDassie,eats,some,Grass,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Plant'], 'specialize': []}","['feeds on a variety of vegetation, including grasses']"
61,RockDassie,eats,some,Leaf,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['feeds on a variety of vegetation, including ... leaves']"
62,RockDassie,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['typically found in rocky terrains']
63,Role,inheres-in,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['“each role is defined by the specific behaviors and interactions of the animals that embody them,” which implies that any instance of Role must inhere in some Animal.']"
64,Root,is-part-of,only,Plant,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""The Root class represents the essential underground part of a plant, anchoring it securely in the soil..."" implies that every Root must be part of a Plant.)']"
65,Scourge,has-member,only,Animal,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Scourges may include multiple individuals of the same species, highlighting their interconnectedness and cooperative dynamics within their environment."")']"
66,Stem,is-proper-part-of,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['is-part-of'], 'generalize': [], 'specialize': []}","['(""The Stem is a vital part of a plant that supports its structure and facilitates the transport of nutrients and water between the roots and the leaves."")']"
67,Swarm,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""The Swarm class represents a collective grouping of animals that move or act together in a coordinated manner, implying that a swarm is made up of animal members."")']"
68,Tasty-plant,eaten-by,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The description states that Tasty-plants “are desirable food sources for various animal species” and “provide nourishment to both carnivores and herbivores,” indicating that animals eat these plants.)']"
69,Tree,has-part,some,Branch,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""supports branches"" implies that a Tree includes Branch as one of its parts)']"
70,Tree,has-part,some,Leaf,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(""supports ... leaves"" shows that a Tree necessarily includes Leaf as a component)']"
71,Tree,has-part,some,Stem,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(""characterized by an elongated stem or trunk"" indicates that a Tree must include a Stem as part of its structure)']"
72,Troop,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The description states that a Troop is ""a social group of animals"" and is characterized by ""strong social bonds among its members,"" supporting that each Troop must have at least one Animal as a member.)']"
73,Twig,has-part,some,Leaf,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(""supporting leaves and buds"" implies that twigs bear leaves, and Leaf is available in the class_hierarchy)']"
74,Twig,is-part-of,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""plays a crucial role in the overall structure of the plant"" and ""contributing to its ability to photosynthesize and reproduce"" indicate that a twig is a part of the plant)']"
75,Twig,is-proper-part-of,some,Tree,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['is-part-of'], 'generalize': ['Plant'], 'specialize': []}","['(""typically grows on a tree or shrub"" indicates that a twig is a proper part of a tree)']"
76,Warthog,eats,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['(The description states that its varied diet “includes other animals.”)']
77,Warthog,eats,some,FruitingBody,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}",['(The description notes that its diet “includes … fruiting bodies.”)']
78,Warthog,eats,some,Grass,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Plant'], 'specialize': []}",['(The description notes that its diet “includes … grasses.”)']
79,Warthog,eats,some,Root,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['(The description notes that its diet “includes … roots.”)']
80,Warthog,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['(The description specifies that Warthogs are “typically found in open and wooded savannas.”)']
81,Xylem,is-part-of,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The description notes “Xylem is a vital tissue found in vascular plants,” which supports that xylem is part of a plant.)']"
82,Xylem,is-proper-part-of,some,Stem,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(The description states that “It is typically located within the stem and is essential for maintaining the plant’s structure,” indicating that xylem is a proper part of the stem.)']"
83,Zeal,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['A Zeal is a collective group of animals that typically includes multiple individuals...']
