,subject,predicate,rtype,object,operations,support_sentence
13,Den,inhabits,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['has-member'], 'generalize': ['Thing'], 'specialize': []}",['(A Den is a specific type of shelter or resting place used by various animals for protection and raising their young.)']
14,Distribution,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['has-member', 'inheres-in', 'has-part'], 'generalize': ['Thing'], 'specialize': []}","['(The Distribution class encompasses the various geographical areas where different species of animals and plants are found across Africa, which implies that these distributions are associated with specific habitats.)']"
15,Elephant,eats,some,Herbivore,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Animal'], 'specialize': []}","['(The Elephant is a large, herbivorous mammal known for its distinctive trunk, tusks, and large ears.)']"
16,Flight,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(The class ""Flight"" refers to a collective behavior exhibited by certain animals, particularly birds, during which they move through the air using their wings.)']"
17,FruitingBody,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The FruitingBody class represents the reproductive structures of certain plants that develop from flowers and contain seeds, indicating that they are composed of various parts, which are classified under PlantParts.)']"
18,Giraffe,eats,some,Leaf,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(Giraffes are herbivorous mammals that feed on leaves or twigs, particularly from trees, allowing them to reach foliage that many other herbivores cannot access.)  \nGiraffe, eats, some, Twig / support sentence: (Giraffes are herbivorous mammals that feed on leaves or twigs, particularly from trees, allowing them to reach foliage that many other herbivores cannot access.)  \nGiraffe, inhabits, some, Habitat / support sentence: (Giraffes are often found in savannas and open woodlands where their preferred food sources are abundant.)  \nGiraffe, is-proper-part-of, some, Animal / support sentence: (The Giraffe is a tall, herbivorous mammal known for its long neck and distinctive spotted coat.)']"
19,Grass,eaten-by,some,Herbivore,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Animal'], 'specialize': []}",['(Grass serves as a primary food source for many herbivorous animals.)']
20,Habitat,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['is-part-of', 'inheres-in', 'has-part'], 'generalize': ['Thing'], 'specialize': []}","['(A habitat is a natural environment where various organisms live and interact with one another, which implies that it can have members that are animals.)']"
21,Habitat,has-member,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['is-part-of', 'inheres-in', 'has-part'], 'generalize': ['Thing'], 'specialize': []}","['(A habitat is a natural environment where various organisms live and interact with one another, which implies that it can have members that are plants.)']"
22,Habitat,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['has-member', 'is-part-of'], 'generalize': [], 'specialize': []}","['(It encompasses the physical characteristics, climate, and resources available in a specific area, which can support different forms of life, indicating that habitats can have parts that are plant parts.)']"
23,Habitat,inhabits,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['has-member', 'inheres-in', 'has-part'], 'generalize': ['Thing'], 'specialize': []}","['(Each habitat plays a crucial role in the ecosystem, providing food, shelter, and breeding grounds for the species that inhabit it, indicating that habitats can be inhabited by animals.)']"
24,Habitat,inhabits,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['has-member', 'inheres-in', 'has-part'], 'generalize': ['Thing'], 'specialize': []}","['(Each habitat plays a crucial role in the ecosystem, providing food, shelter, and breeding grounds for the species that inhabit it, indicating that habitats can be inhabited by plants.)']"
25,Herbivore,eats,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}",['(Herbivores are animals that just consume plant material as their all source of nutrition.)']
26,Herd,has-member,some,Elephant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Herbivore'], 'specialize': []}","['(A herd is a social group of animals that typically consists of individuals living and moving together... In the context of African wildlife, a herd is often characterized by its members being predominantly elephants...)']"
27,HypoCarnivores,eats,some,Carnivore,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Animal'], 'specialize': []}",['(HypoCarnivores are a specialized group of carnivorous animals that primarily consume meat but can also incorporate some plant matter into their diets.)']
28,HypoCarnivores,eats,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}",['(This dietary flexibility allows them to thrive in various environments where food availability may fluctuate.)']
29,HypoCarnivores,is-part-of,only,Animal,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}",['(HypoCarnivores are classified under the broader category of carnivorous animals.)']
30,Impala,eats,only,Grass,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': ['Plant'], 'specialize': []}","['(Impalas are herbivores, primarily feeding on grasses and leaves.)']"
31,Impala,is-part-of,some,Herd,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['AnimalCollective'], 'specialize': []}",['(Impalas are social animals that often form large herds.)']
32,Kettle,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Members of a Kettle often engage in coordinated movements, particularly during flight, showcasing their ability to work together in the wild.)']"
33,Leaf,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","[""(Leaves are typically green and are attached to branches, where they can efficiently capture light. As part of the plant's structure, leaves contribute to overall growth and health.)""]"
34,Lion,eats,some,Herbivore,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Animal'], 'specialize': []}","['(Lions primarily hunt and feed on herbivorous animals, showcasing its role as a top predator in its ecosystem.)']"
35,MesoCarnivore,eaten-by,some,Predator,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(As MesoCarnivores are part of the food chain, they can be preyed upon by other animals classified as Predators.)']"
36,MesoCarnivore,eats,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(MesoCarnivores primarily consume other animals, indicating that they eat members of the class Animal.)']"
37,Nest,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(Nests can be constructed using materials such as twigs, leaves, and mud, depending on the species.)']"
38,ObligateCarnivore,eats,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Obligate carnivores primarily rely on a diet consisting exclusively of meat to meet their nutritional needs, which indicates they eat other animals.)']"
39,Omnivore,eats,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Omnivores consume a varied diet, incorporating both animal and plant matter, which indicates that they eat animals.)']"
40,Omnivore,eats,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Omnivores consume a varied diet, incorporating both animal and plant matter, which indicates that they eat plants.)']"
41,Palm,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The Palm class encompasses a diverse group of flowering plants characterized by their tall, slender trunks and large, fan-like or feather-like leaves, indicating that palms have parts that belong to the PlantParts class.)']"
42,Palmtree,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The Palmtree is a type of plant characterized by its tall, unbranched trunk and a crown of large, fan-shaped or feather-like leaves at the top, indicating that it has parts that belong to the PlantParts class.)']"
43,Parsnip,has-part,some,Root,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The parsnip is a root vegetable known for its sweet, nutty flavor and creamy texture when cooked.)']"
44,Phloem,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","[""(Phloem is a component of the plant's vascular system and is specifically associated with the stem, indicating that it has parts that belong to the broader category of PlantParts.)""]"
45,Plant,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['has-member', 'is-part-of'], 'generalize': [], 'specialize': []}","['(Plants are characterized by their structures, such as roots, stems, and leaves, which are essential for their survival and reproduction.)']"
46,PlantParts,is-part-of,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['has-member', 'has-part'], 'generalize': ['Thing'], 'specialize': []}","['(Every plant part is inherently linked to a specific plant, emphasizing the interdependence between the components and the whole organism.)']"
47,Predator,eaten-by,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['eats'], 'generalize': ['Thing'], 'specialize': []}","['(Predators can vary widely in size, behavior, and hunting strategies, ranging from solitary hunters to those that operate in packs.)']"
48,Predator,eats,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['eaten-by'], 'generalize': ['Thing'], 'specialize': []}","['(The class ""Predator"" encompasses organisms that actively hunt and consume other animals for sustenance.)']"
49,Prey,eaten-by,some,Predator,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['(The Prey class encompasses various animals that are primarily hunted by predators for food.)']
50,Rhumba,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(The Rhumba is characterized by a group of individuals that come together for social interactions or cooperative behaviors, indicating that it must have members that are animals.)']"
51,RockDassie,eats,some,Tasty-plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Plant'], 'specialize': []}","['(The Rock Dassie is a small herbivorous mammal that primarily feeds on a variety of vegetation, including grasses and leaves, making it an important part of its ecosystem.)']"
52,Role,eaten-by,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['inheres-in'], 'generalize': ['Thing'], 'specialize': []}","['(Similarly, the roles of Predator and Prey also imply that a Prey role is defined by being eaten by another animal, reinforcing the dynamic relationships in natural ecosystems.)']"
53,Role,eats,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['has-part'], 'generalize': ['Thing'], 'specialize': []}","['(The Role class encompasses the various positions that animals can hold within ecological interactions, including classifications such as predator and prey, which implies that roles like Predator and Prey are defined by their interactions with other animals, specifically through the act of eating.)']"
54,Role,has-member,some,AnimalCollective,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['is-part-of', 'inheres-in', 'has-part'], 'generalize': [], 'specialize': []}","['(The dynamic relationships that exist in natural ecosystems often involve groups of animals, indicating that roles can have members that are part of an AnimalCollective.)']"
55,Role,is-part-of,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['has-member', 'has-part'], 'generalize': ['Thing'], 'specialize': []}","['(Understanding these roles is essential for studying the balance and health of wildlife populations, which often involves their specific habitats where these interactions occur.)']"
56,Root,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The Root class encompasses various types of roots that differ in structure and function, contributing to the overall health and stability of the plant.)']"
57,Scourge,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}",['(The Scourge is a collective term used to describe a group of animals that typically move together in a coordinated manner. This term often applies to species that exhibit social behavior...)']
58,Stem,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['(The Stem is a vital part of a plant that supports its structure and facilitates the transport of nutrients and water between the roots and the leaves.)']
59,Swarm,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(The Swarm class represents a collective grouping of animals that move or act together in a coordinated manner, indicating that swarms consist of members that are animals.)']"
60,Tasty-plant,eaten-by,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Tasty-plants are desirable food sources for various animal species, indicating that they are eaten by animals.)']"
61,Thing,has-member,some,Thing,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(As ""Thing"" is the foundational class, it can include members that are also classified as ""Thing"" or any of its subclasses.)']"
62,Thing,has-part,some,Thing,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The class ""Thing"" encompasses all entities, which implies that it can have parts that are also classified as ""Thing"" or any of its subclasses.)']"
63,Thing,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Entities classified under ""Thing"" can inhabit various habitats, which are part of the broader ecosystem context.)']"
64,Thing,inheres-in,some,Thing,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The concept of ""Thing"" includes all entities, suggesting that they can have properties that inhere in them, which can also be classified as ""Thing"".)']"
65,Thing,is-part-of,only,Thing,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The class ""Thing"" serves as the highest level of classification, indicating that any entity that is part of another must ultimately relate back to ""Thing"".)']"
66,Tree,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The Tree class is characterized by an elongated stem or trunk that supports branches and leaves, indicating that trees have parts that belong to the PlantParts class.)']"
67,Troop,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(A Troop is a social group of animals that typically live and travel together, exhibiting coordinated behavior and interactions.)']"
68,Twig,has-part,some,Branch,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(A twig is a small, slender branch that typically grows on a tree or shrub.)']"
69,Warthog,eats,some,Omnivore,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Animal'], 'specialize': []}","['(The Warthog is described as omnivorous, foraging for a varied diet that includes other animals, fruiting bodies, grasses, and roots.)']"
70,Warthog,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Warthogs are typically found in open and wooded savannas, where they can easily access their preferred food sources.)']"
71,Warthog,is-part-of,some,AnimalCollective,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(Their social behavior often leads them to be seen in small groups, which aids in foraging and protection from predators.)']"
72,Xylem,has-part,some,PlantParts,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","[""(Xylem is a vital tissue found in vascular plants that is typically located within the stem and is essential for maintaining the plant's structure and health.)""]"
73,Zeal,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(A Zeal is a collective group of animals that typically includes multiple individuals of a specific species, often characterized by their social behavior and cooperative interactions.)']"
74,"DeprecatedClass""",has-part,some,DeprecatedClass,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(This class serves as a historical reference, indicating concepts that have been replaced or rendered obsolete by more accurate or relevant classifications.)\n```']"
