,subject,predicate,object,rtype,operations,support_sentence
23,CaperTopping,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['Typically classified as a vegetable topping, it enhances the overall taste experience without overwhelming the palate, making it a popular choice for those who enjoy a subtle yet distinctive addition to their pizza.']"
24,Capricciosa,hasBase,PizzaBase,exactly 1,"{'remove': True, 'variant_rtype': ['some', 'only'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}",['all resting on a classic pizza base.']
25,Capricciosa,hasIngredient,CheeseTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['Each slice is adorned with anchovies, capers, ham, mozzarella, olives, peperonata, and a generous spread of tomato...']"
26,Capricciosa,hasTopping,FishTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Each slice is adorned with anchovies, capers, ham, mozzarella, olives, peperonata, and a generous spread of tomato...']"
27,Capricciosa,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['Each slice is adorned with anchovies, capers, ham, mozzarella, olives, peperonata, and a generous spread of tomato...']"
28,Caprina,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['The crust is built on a solid pizza base, providing the perfect foundation for these carefully selected toppings to shine.']"
29,Caprina,hasTopping,CheeseTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza features a harmonious blend of toppings, which include creamy goats cheese, rich mozzarella...']"
30,Caprina,hasTopping,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': [], 'negative': True}","['...tangy sundried tomatoes, and classic tomato sauce.']"
31,CheeseTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(While not explicitly stated, cheese toppings are generally considered to have a mild flavor profile, complementing the richness of the cheese.)']"
32,CheeseTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['(CheeseTopping is a staple that elevates the overall taste experience of any pizza, making each slice irresistibly delicious.)']"
33,CheeseyVegetableTopping,hasIngredient,CheeseTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['This delicious topping combines the rich, creamy goodness of cheese with a variety of fresh vegetables...']"
34,CheeseyVegetableTopping,hasIngredient,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['This delicious topping combines... a variety of fresh vegetables, creating a perfect blend of flavors and textures.']"
35,CheeseyVegetableTopping,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Ideal for those who crave a hearty yet healthy option..."" (implying that it can have varying levels of spiciness).']"
36,CheeseyVegetableTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}",['This topping not only adds a delightful taste to your pizza...']
37,ChickenTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Typically mild in taste, it enhances the overall experience without overwhelming the palate.']"
38,ChickenTopping,hasTopping,MeatTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delicious topping is often enjoyed on pizzas, adding a savory and satisfying flavor that complements a variety of other ingredients.']"
39,DeepPanBase,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This base is perfect for loading up with a variety of ingredients, from classic pepperoni to vibrant vegetables, ensuring that every bite is packed with flavor.']"
40,DomainConcept,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['This concept serves as a broad classification that can include various items, each with its own unique characteristics.']"
41,DomainConcept,hasIngredient,Food,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['This concept encompasses any object or entity that exists within a specific context or realm, which can include various items, ideas, or phenomena, each with its own unique characteristics and significance.']"
42,DomainConcept,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['These entities play a role in shaping our understanding and experience of the world around us.']
43,DomainConcept,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This concept encompasses any object or entity that exists within a specific context or realm, which can include various items, ideas, or phenomena.']"
44,Fiorentina,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['This delightful pizza variety features a harmonious blend of toppings that include garlic, mozzarella, olives, parmesan, spinach, and tomatoes, all resting on a classic pizza base.']"
45,Fiorentina,hasIngredient,Food,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['The combination of these ingredients not only satisfies the palate but also reflects a traditional approach to pizza-making, celebrating the freshness of its toppings.']"
46,Fiorentina,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Each component contributes to a rich and savory flavor profile, making it a favorite among those who appreciate a well-balanced and hearty meal.']"
47,Food,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['(Pizza is typically built on a base, which can be classified as PizzaBase, such as DeepPanBase or ThinAndCrispyBase.)']"
48,Food,hasCountryOfOrigin,DomainConcept,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(Pizza is a food item that can be associated with a specific country of origin, reflecting its cultural significance and diversity.)']"
49,Food,hasIngredient,Food,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['(Pizza is made up of various ingredients, which fall under the broader category of Food, encompassing items like cheese, meats, and vegetables.)']"
50,Food,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(Pizza can also have varying levels of spiciness, categorized under Spiciness, which includes options like Hot, Medium, and Mild.)']"
51,Food,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(Pizza is a type of food that can have various toppings, which are categorized under PizzaTopping, including CheeseTopping, FishTopping, MeatTopping, and VegetableTopping.)']"
52,FourCheesesTopping,hasIngredient,CheeseTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['The class description highlights that the FourCheesesTopping features a rich blend of four different cheeses, indicating that it must have ingredients that are classified as cheese.']"
53,FourCheesesTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['The description states that the combination is crafted to ensure a mild spiciness, which directly indicates that the spiciness level of this topping is mild.']"
54,FourCheesesTopping,isToppingOf,Pizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['As a topping, the FourCheesesTopping is designed to be used on pizzas, thus it must have a relationship indicating that it is a topping of some pizza.']"
55,FourSeasons,hasBase,PizzaBase,exactly 1,"{'remove': True, 'variant_rtype': ['some', 'only'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['The base is a classic pizza crust, providing the perfect foundation for this colorful and varied topping arrangement.']"
56,FourSeasons,hasIngredient,Food,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","[""You'll find anchovies and capers alongside creamy mozzarella, earthy mushrooms, briny olives, zesty pepperoni, and fresh tomatoes, all working together to create a balanced and satisfying dish.""]"
57,FourSeasons,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['The diverse tastes and textures of the toppings may suggest a range of spiciness levels, contributing to the overall flavor profile.']"
58,FourSeasons,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza features a harmonious blend of toppings that represent the four seasons, each adding its unique flavor to the mix.']"
59,FruitTopping,hasIngredient,FruitTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['These toppings bring a burst of freshness and natural sweetness, enhancing the overall flavor profile of the dish.']"
60,FruitTopping,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['This category includes various types of fruits that can be used as toppings.']
61,FruitTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}",['Fruit toppings offer a unique twist that can complement savory ingredients beautifully.']
62,FruttiDiMare,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","[""It's a perfect choice for those who enjoy the unique combination of ingredients that celebrate the sea, all while being anchored by classic pizza elements.""]"
63,FruttiDiMare,hasTopping,GarlicTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","[""This delightful pizza variety is a seafood lover's dream, featuring a harmonious blend of toppings that includes savory garlic...""]"
64,FruttiDiMare,hasTopping,MixedSeafoodTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","[""This delightful pizza variety is a seafood lover's dream, featuring a harmonious blend of toppings that includes a mix of fresh seafood...""]"
65,FruttiDiMare,hasTopping,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': [], 'negative': True}","['Each slice offers a taste of the ocean, complemented by a flavorful base that enhances the overall experience.']"
66,GarlicTopping,hasSpiciness,Medium,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['It strikes a perfect balance with a medium level of spiciness, making it appealing to a wide range of palates.']"
67,GarlicTopping,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['Whether used alone or combined with other ingredients, it elevates the dish with its distinctive character, ensuring each bite is bursting with flavor.']"
68,GarlicTopping,isIngredientOf,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isToppingOf'], 'negative': True}","['This delightful topping adds a robust flavor to any pizza, bringing a savory richness that enhances the overall taste experience.']"
69,Giardiniera,hasBase,PizzaBase,exactly 1,"{'remove': True, 'variant_rtype': ['some', 'only'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['(The crust serves as a sturdy foundation, indicating that Giardiniera has a specific type of PizzaBase.)']"
70,Giardiniera,hasIngredient,Food,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['(Each ingredient contributes to the dish, suggesting that Giardiniera includes various Food items as its ingredients.)']"
71,Giardiniera,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(While the class description does not specify the spiciness level, it implies a balance of flavors, which often includes a level of spiciness.)']"
72,Giardiniera,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['(The class description mentions a combination of toppings that includes leek, mozzarella, mushrooms, olives, peperonata, petit pois, and sliced tomatoes, which are all categorized as VegetableTopping.)']"
73,GorgonzolaTopping,hasIngredient,CheeseTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['Perfect for those who appreciate a sophisticated cheese choice, this topping elevates any pizza to a gourmet delight.']"
74,GorgonzolaTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Known for its mild spiciness, it pairs beautifully with a variety of other ingredients, enhancing the overall taste experience while maintaining a smooth and savory profile.']"
75,GorgonzolaTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['This delightful topping adds a creamy and tangy flavor to your pizza, bringing a rich and bold character without overwhelming heat.']"
76,GreenPepperTopping,hasTopping,PepperTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['GreenPepperTopping is a subclass of PepperTopping, indicating that it is a type of topping that falls under the broader category of pepper toppings.']"
77,HamTopping,hasIngredient,HamTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['Often enjoyed for its rich, meaty taste, it pairs well with a variety of other ingredients, making it a popular choice among pizza lovers.']"
78,HamTopping,hasTopping,MeatTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delicious topping consists of thinly sliced or diced ham, adding a savory and slightly sweet flavor to any pizza.']"
79,HamTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","[""Whether it's sprinkled on top of a classic cheese pizza or combined with other toppings like pineapple or mushrooms, this ingredient enhances the overall flavor profile, creating a satisfying and hearty dish.""]"
80,HerbSpiceTopping,hasIngredient,Food,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['These toppings can range from dried herbs like oregano and basil to fresh options such as parsley and cilantro, each contributing its unique essence to the overall flavor profile.']"
81,HerbSpiceTopping,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['These ingredients not only elevate the dish’s aroma but also add a fresh, vibrant taste that complements the other components.']"
82,HerbSpiceTopping,hasTopping,HerbSpiceTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['This category includes a variety of flavorful additions that enhance the taste of pizzas through the use of aromatic plants and spices.']
83,Hot,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(This category encompasses flavors that bring a noticeable warmth and a kick to dishes, often characterized by their ability to ignite the taste buds.)']"
84,HotGreenPepperTopping,hasSpiciness,Hot,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This ingredient adds a fiery kick to your pizza, featuring vibrant green peppers that are known for their spiciness.']"
85,HotGreenPepperTopping,hasTopping,GreenPepperTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Perfect for those who enjoy a bit of heat in their meals, these peppers enhance the flavor profile of any dish.']"
86,HotSpicedBeefTopping,hasSpiciness,Hot,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delicious topping features tender pieces of beef that are seasoned with a fiery blend of spices, giving it a bold and zesty flavor.']"
87,HotSpicedBeefTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['Perfect for those who enjoy a bit of heat in their meals, this topping adds a spicy kick to any pizza, making it an exciting choice for adventurous eaters.']"
88,IceCream,hasTopping,FruitTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Ice cream can be enhanced with toppings, particularly those made from fruits, making it a popular choice for warm days and special occasions alike.']"
89,JalapenoPepperTopping,hasSpiciness,Hot,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Known for its heat, it enhances the overall experience of the dish, making it a popular choice for those who enjoy a bit of spice in their meals.']"
90,LaReine,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['The base is crafted from a traditional pizza dough, providing a sturdy foundation for the delightful array of ingredients.']"
91,LaReine,hasIngredient,CheeseTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['Each slice is generously adorned with ham, mozzarella, mushrooms, olives, and tomatoes...']"
92,LaReine,hasIngredient,HamTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['Each slice is generously adorned with ham, mozzarella, mushrooms, olives, and tomatoes...']"
93,LaReine,hasIngredient,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['Each slice is generously adorned with ham, mozzarella, mushrooms, olives, and tomatoes...']"
94,LaReine,hasIngredient,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['Each slice is generously adorned with ham, mozzarella, mushrooms, olives, and tomatoes...']"
